ticker,modal_timing,agreement_share,n_events,n_bmo,n_amc,recent_timing,switched,confidence
CHTR,BMO,1.0,41,41,0,BMO,False,high
CI,BMO,0.967,30,29,1,BMO,False,high
CIEN,BMO,1.0,43,43,0,BMO,False,high
CINF,AMC,0.92,50,4,46,AMC,False,high
CL,BMO,0.952,42,40,2,BMO,False,high
CLX,BMO,0.535,43,23,20,AMC,True,low
CMCSA,BMO,1.0,42,42,0,BMO,False,high
CME,BMO,1.0,42,42,0,BMO,False,high
CMG,AMC,0.955,44,2,42,AMC,False,high
CMI,BMO,0.976,42,41,1,BMO,False,high
CMS,BMO,1.0,43,43,0,BMO,False,high
CNC,BMO,0.673,49,33,16,BMO,False,low
CNP,BMO,0.935,46,43,3,BMO,False,high
COF,AMC,1.0,42,0,42,AMC,False,high
COHR,BMO,0.643,42,27,15,AMC,True,low
COIN,AMC,0.957,23,1,22,AMC,False,high
COO,AMC,1.0,41,0,41,AMC,False,high
COP,BMO,0.977,43,42,1,BMO,False,high
COR,BMO,1.0,42,42,0,BMO,False,high
COST,AMC,0.976,42,1,41,AMC,False,high
CPAY,AMC,0.977,43,1,42,AMC,False,high
CPRT,AMC,0.952,42,2,40,AMC,False,high
CPT,AMC,0.951,41,2,39,AMC,False,high
CRH,BMO,0.5,10,5,5,AMC,True,low
CRL,BMO,1.0,45,45,0,BMO,False,high
CRM,AMC,0.977,43,1,42,AMC,False,high
CRWD,AMC,0.967,30,1,29,AMC,False,high
CSCO,AMC,1.0,42,0,42,AMC,False,high
CSGP,AMC,1.0,42,0,42,AMC,False,high
CSX,AMC,0.976,42,1,41,AMC,False,high
CTAS,BMO,0.575,40,23,17,BMO,False,low
CTSH,AMC,0.614,44,17,27,AMC,False,low
CTVA,AMC,0.833,30,5,25,AMC,False,medium
CVNA,AMC,0.974,38,1,37,AMC,False,high
CVS,BMO,1.0,46,46,0,BMO,False,high
CVX,BMO,0.976,41,40,1,BMO,False,high
D,BMO,0.976,42,41,1,BMO,False,high
DAL,BMO,1.0,41,41,0,BMO,False,high
DASH,AMC,0.955,22,1,21,AMC,False,high
DD,BMO,0.951,41,39,2,BMO,False,high
DDOG,BMO,0.704,27,19,8,BMO,False,medium
DE,BMO,1.0,41,41,0,BMO,False,high
DECK,AMC,0.976,42,1,41,AMC,False,high
DELL,AMC,0.78,41,9,32,AMC,False,medium
DG,BMO,1.0,43,43,0,BMO,False,high
DGX,BMO,0.977,44,43,1,BMO,False,high
DHI,AMC,1.0,38,0,38,AMC,False,high
DHR,AMC,0.759,54,13,41,AMC,False,medium
DIS,AMC,0.69,29,9,20,BMO,True,low
DLR,AMC,0.976,42,1,41,AMC,False,high
DLTR,BMO,0.955,44,42,2,BMO,False,high
DOC,AMC,0.69,42,13,29,AMC,False,low
DOV,BMO,0.953,43,41,2,BMO,False,high
DOW,BMO,0.964,28,27,1,BMO,False,high
DPZ,BMO,0.977,43,42,1,BMO,False,high
DRI,BMO,0.976,42,41,1,BMO,False,high
DTE,BMO,0.5,84,42,42,BMO,False,low
DUK,BMO,0.56,50,28,22,AMC,True,low
DVA,AMC,0.953,43,2,41,AMC,False,high
DVN,AMC,0.955,44,2,42,AMC,False,high
DXCM,AMC,0.796,54,11,43,AMC,False,medium
EA,AMC,0.977,44,1,43,AMC,False,high
EBAY,AMC,0.977,43,1,42,AMC,False,high
ECHO,BMO,0.75,4,3,1,BMO,False,medium
ECL,BMO,0.81,58,47,11,BMO,False,medium
ED,AMC,0.905,42,4,38,AMC,False,high
EFX,AMC,0.783,46,10,36,BMO,True,medium
EG,AMC,1.0,43,0,43,AMC,False,high
EIX,AMC,1.0,42,0,42,AMC,False,high
EL,BMO,1.0,39,39,0,BMO,False,high
ELV,BMO,0.977,44,43,1,BMO,False,high
EME,AMC,0.824,34,6,28,AMC,False,medium
EMR,BMO,0.96,50,48,2,BMO,False,high
EOG,AMC,1.0,48,0,48,AMC,False,high
EQIX,AMC,0.977,43,1,42,AMC,False,high
EQR,AMC,1.0,42,0,42,AMC,False,high
EQT,AMC,0.6,60,24,36,AMC,False,low
ERIE,AMC,1.0,42,0,42,AMC,False,high
ES,AMC,0.915,47,4,43,AMC,False,high
ESS,AMC,0.952,42,2,40,AMC,False,high
ETN,BMO,0.977,43,42,1,BMO,False,high
ETR,BMO,0.949,39,37,2,BMO,False,high
EVRG,BMO,0.75,32,24,8,BMO,False,medium
EW,AMC,1.0,43,0,43,AMC,False,high
EXC,BMO,1.0,41,41,0,BMO,False,high
EXE,AMC,0.512,43,21,22,AMC,False,low
EXPD,AMC,1.0,42,0,42,AMC,False,high
EXPE,AMC,0.953,43,2,41,AMC,False,high
EXR,AMC,1.0,41,0,41,AMC,False,high
F,AMC,0.778,45,10,35,AMC,False,medium
FANG,AMC,0.966,59,2,57,AMC,False,high
FAST,BMO,1.0,42,42,0,BMO,False,high
FCX,BMO,0.574,47,27,20,BMO,False,low
FDS,BMO,0.889,36,32,4,BMO,False,medium
FDX,AMC,1.0,45,0,45,AMC,False,high
FE,AMC,0.841,44,7,37,AMC,False,medium
FFIV,AMC,0.977,44,1,43,AMC,False,high
FICO,AMC,1.0,42,0,42,AMC,False,high
FIS,BMO,0.917,48,44,4,BMO,False,high
FISV,AMC,0.511,47,23,24,BMO,True,low
FITB,BMO,1.0,42,42,0,BMO,False,high
FIX,AMC,1.0,42,0,42,AMC,False,high
FLEX,AMC,0.756,41,10,31,BMO,True,medium
FOX,BMO,0.7,30,21,9,BMO,False,medium
FOXA,BMO,0.7,30,21,9,BMO,False,medium
FRT,AMC,0.907,43,4,39,AMC,False,high
FSLR,AMC,1.0,43,0,43,AMC,False,high
FTNT,AMC,0.977,44,1,43,AMC,False,high
FTV,AMC,0.533,45,21,24,BMO,True,low
